Rowid_,PLOT_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,SJER1068,1,1600,1600.0000000,0.0000000,19.1299992,19.1299992,2.4732375,5.2199650,3957.1799316
,SJER112,2,1600,1600.0000000,0.0000000,24.2899990,24.2899990,4.3331747,6.4490118,6933.0800781
,SJER116,3,1600,1600.0000000,0.0000000,16.3899994,16.3899994,4.3735747,4.1730466,6997.7197266
,SJER117,4,1600,1600.0000000,0.0000000,17.4499989,17.4499989,2.2785187,3.8009107,3645.6298828
,SJER120,5,1600,1600.0000000,0.0000000,8.0100002,8.0100002,0.3229000,1.3601520,516.6400146
,SJER128,6,1600,1600.0000000,0.0000000,19.3799992,19.3799992,3.0165186,4.8693886,4826.4296875
,SJER192,7,1600,1600.0000000,0.0000000,16.8099995,16.8099995,5.6810999,4.1375742,9089.7597656
,SJER272,8,1600,1600.0000000,0.0000000,12.3000002,12.3000002,5.3376560,3.8157220,8540.2500000
,SJER2796,9,1600,1600.0000000,0.0000000,20.9899998,20.9899998,2.3599563,3.8380225,3775.9299316
,SJER3239,10,1600,1600.0000000,0.0000000,17.3699989,17.3699989,2.5569749,3.7133436,4091.1599121
,SJER36,11,1600,1600.0000000,0.0000000,12.3299999,12.3299999,1.2153624,2.8777192,1944.5799561
,SJER361,12,1600,1600.0000000,0.0000000,21.4300003,21.4300003,1.8299562,4.8637395,2927.9299316
,SJER37,13,1600,1600.0000000,0.0000000,11.7199993,11.7199993,1.2441000,2.8740442,1990.5599365
,SJER4,14,1600,1600.0000000,0.0000000,10.5299997,10.5299997,2.5884249,3.1040285,4141.4799805
,SJER8,15,1600,1600.0000000,0.0000000,5.3299999,5.3299999,0.0786937,0.5372222,125.9099960
,SJER824,16,1600,1600.0000000,0.0000000,26.8599987,26.8599987,3.8841186,5.6821303,6214.5898438
,SJER916,17,1600,1600.0000000,0.0000000,19.6999989,19.6999989,3.3584688,5.6809125,5373.5498047
,SJER952,18,1600,1600.0000000,0.0000000,7.4400001,7.4400001,0.1581875,0.8932491,253.0999908